Method,Name,Error,Occurrences
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f897270250>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae808750>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae7fd650>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/game,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f898574e10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d496d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d171d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a6816210>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b751250>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,RemoteDisconnected('Remote end closed connection without response'),537
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b774d10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae949e10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b7692d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8985b0f90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a685cad0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d35b90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89726c190>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e8cedd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
POST,/api/submit,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e89a410>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
POST,/api/submit,RemoteDisconnected('Remote end closed connection without response'),179
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae836410>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae9a4050>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae928810>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89862a090>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
POST,/api/submit,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a6803a90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4ccafd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae9b5fd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b37ee550>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8972ae890>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae84cdd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a685fb10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae7d2c50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d4b250>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d48810>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a6801510>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8972ea890>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89863a490>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cd4850>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b6edad0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
POST,/api/submit,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a67f5810>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b37f95d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d18b10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b38154d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b381c490>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d2af10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae958f10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f898639b90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b3805d50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e88d0d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b710290>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae79c310>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cd5a10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae84fd10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b777f90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b737850>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae9b7690>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8c6990>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b6bc050>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f898576d90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8ab810>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a67f6dd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f895f77990>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b70f210>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8972eb190>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b381dd50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d001d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ChunkedEncodingError(ProtocolError(""Connection broken: ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)"", ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))",7
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a685e550>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/game,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e84a050>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/game,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8c4990>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b72ef90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae92bd50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
POST,/api/submit,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b77da10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae9add50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae7779d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b6d7ed0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b72dcd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e89a950>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8d4210>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8fed50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cb3710>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d63290>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae79f950>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b775cd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d6ce90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae994910>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae7bbfd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8983d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89857c250>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae932a90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a687b450>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b7536d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d601d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8972e9590>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,RemoteDisconnected('Remote end closed connection without response'),329
GET,/,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",2
POST,/api/submit,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae88a7d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae7ebed0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cc1950>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f897281550>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae9bcad0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8a4550>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cd7890>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d00210>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a681c610>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae77b190>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cde5d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8985e5d50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d58f10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d559d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/game,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e8e8ed0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae931350>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae961510>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b6ee590>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f895f900d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae948610>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b3800110>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",4
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae905cd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8c1950>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89862b3d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cca210>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",4
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a6879950>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a6813950>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e845350>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d78510>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae907150>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e8e4210>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/game,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae94cbd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae94f710>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae892810>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae9417d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b381f590>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b7535d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae94b490>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b73ecd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b74b3d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b37efd90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d18990>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a683c350>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae969c10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae834750>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89864a1d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d6e190>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8dd310>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8de990>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d15810>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae79d350>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e88f810>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8c04d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e8e6990>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b70f550>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8be810>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cc44d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae997950>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
